2025-06-28 02:44:39 : Battery monitor started
2025-06-28 02:44:41 : Battery: 51%, Charging: True
2025-06-28 02:44:57 : Battery monitor started
2025-06-28 02:44:57 : Battery: 51%, Charging: True
2025-06-28 02:45:11 : Battery: 52%, Charging: True
2025-06-28 02:45:27 : Battery: 52%, Charging: True
2025-06-28 02:45:41 : Battery: 52%, Charging: True
2025-06-28 02:45:57 : Battery: 53%, Charging: True
2025-06-28 02:46:11 : Battery: 53%, Charging: True
2025-06-28 02:46:27 : Battery: 53%, Charging: True
2025-06-28 02:46:41 : Battery: 54%, Charging: True
2025-06-28 02:46:57 : Battery: 54%, Charging: True
2025-06-28 02:47:11 : Battery: 54%, Charging: True
2025-06-28 02:47:27 : Battery: 55%, Charging: True
2025-06-28 02:47:41 : Battery: 55%, Charging: True
2025-06-28 02:47:57 : Battery: 55%, Charging: True
2025-06-28 02:48:11 : Battery: 56%, Charging: True
2025-06-28 02:48:27 : Battery: 56%, Charging: True
2025-06-28 02:48:41 : Battery: 56%, Charging: True
2025-06-28 02:48:57 : Battery: 57%, Charging: True
2025-06-28 02:49:01 : Battery monitor stopped by user
2025-06-28 02:49:03 : Battery monitor stopped by user
2025-06-28 02:49:15 : Battery monitor started
2025-06-28 02:49:16 : Battery: 57%, Charging: True
2025-06-28 02:49:46 : Battery: 58%, Charging: True
2025-06-28 02:50:16 : Battery: 58%, Charging: True
2025-06-28 02:50:19 : Battery monitor stopped by user
2025-06-28 02:50:26 : Battery monitor started
2025-06-28 02:50:26 : Battery: 59%, Charging: True
2025-06-28 02:50:56 : Battery: 59%, Charging: True
2025-06-28 02:51:26 : Battery: 60%, Charging: True
2025-06-28 02:51:56 : Battery: 60%, Charging: True
2025-06-28 02:52:26 : Battery: 61%, Charging: True
2025-06-28 02:52:56 : Battery: 62%, Charging: True
2025-06-28 02:53:26 : Battery: 62%, Charging: True
2025-06-28 02:53:56 : Battery: 63%, Charging: True
2025-06-28 02:54:26 : Battery: 63%, Charging: True
2025-06-28 02:54:56 : Battery: 64%, Charging: True
2025-06-28 02:55:26 : Battery: 65%, Charging: True
2025-06-28 02:55:48 : Battery monitor stopped by user
2025-06-28 02:55:56 : Battery monitor started
2025-06-28 02:55:57 : Battery: 65%, Charging: True
2025-06-28 02:56:27 : Battery: 66%, Charging: True
2025-06-28 02:56:57 : Battery: 66%, Charging: True
2025-06-28 02:57:27 : Battery: 67%, Charging: True
2025-06-28 02:57:57 : Battery: 67%, Charging: True
2025-06-28 02:58:27 : Battery: 68%, Charging: True
2025-06-28 02:58:57 : Battery: 68%, Charging: True
2025-06-28 02:59:27 : Battery: 69%, Charging: True
2025-06-28 02:59:57 : Battery: 69%, Charging: True
2025-06-28 03:00:27 : Battery: 70%, Charging: True
2025-06-28 03:00:57 : Battery: 70%, Charging: True
2025-06-28 03:01:27 : Battery: 70%, Charging: True
2025-06-28 03:01:57 : Battery: 71%, Charging: True
2025-06-28 03:02:27 : Battery: 71%, Charging: True
2025-06-28 03:02:57 : Battery: 72%, Charging: True
2025-06-28 03:03:27 : Battery: 72%, Charging: True
2025-06-28 03:03:57 : Battery: 73%, Charging: True
2025-06-28 03:04:27 : Battery: 73%, Charging: True
2025-06-28 03:04:57 : Battery: 74%, Charging: True
2025-06-28 03:05:27 : Battery: 74%, Charging: True
2025-06-28 03:05:57 : Battery: 74%, Charging: True
2025-06-28 03:06:27 : Battery: 75%, Charging: True
2025-06-28 03:06:57 : Battery: 75%, Charging: True
2025-06-28 03:07:27 : Battery: 76%, Charging: True
2025-06-28 03:07:57 : Battery: 76%, Charging: True
2025-06-28 03:08:27 : Battery: 76%, Charging: True
2025-06-28 03:08:57 : Battery: 77%, Charging: True
2025-06-28 03:09:27 : Battery: 77%, Charging: True
2025-06-28 03:09:57 : Battery: 77%, Charging: True
2025-06-28 03:10:27 : Battery: 78%, Charging: True
2025-06-28 03:10:57 : Battery: 78%, Charging: True
2025-06-28 03:11:27 : Battery: 78%, Charging: True
2025-06-28 03:11:57 : Battery: 79%, Charging: True
2025-06-28 03:12:27 : Battery: 79%, Charging: True
2025-06-28 03:12:57 : Battery: 79%, Charging: True
2025-06-28 03:13:27 : Battery: 80%, Charging: True
2025-06-28 03:13:57 : Battery: 80%, Charging: True
2025-06-28 03:14:27 : Battery: 80%, Charging: True
